id,keyword,intent,priority,page_type,target_page,last_modified,source
1,is s9 game real,core,P1,homepage/pillar,/,2026-06-28,sop-full-audit
2,s9 official website Pakistan,core,P1,homepage/pillar,/,2026-06-28,sop-full-audit
3,s9 official website check Pakistan,long-tail,P1,supporting article,/blog/,2026-06-28,sop-full-audit
4,s9 scam apk warning,long-tail,P1,supporting article,/blog/,2026-06-28,sop-full-audit
5,s9 domain safety checklist,long-tail,P1,supporting article,/blog/,2026-06-28,sop-full-audit
6,s9 Pakistan,brand,P1,homepage,/,2026-06-28,sop-full-audit
7,s9 game Pakistan,brand,P1,homepage,/,2026-06-28,sop-full-audit
8,S9 Trust Review Journal support,brand,P2,support,/support/,2026-06-28,sop-full-audit
9,S9 Trust Review Journal FAQ,brand,P2,faq,/faq/,2026-06-28,sop-full-audit
10,s9 trust check Pakistan,category,P1,hub/category,/trust-check/,2026-06-28,sop-full-audit
11,s9 reviews Pakistan,category,P1,hub/category,/reviews/,2026-06-28,sop-full-audit
12,s9 safety checklist Pakistan,category,P1,hub/category,/safety-checklist/,2026-06-28,sop-full-audit
13,s9 domain verification Pakistan,category,P1,hub/category,/domain-verification/,2026-06-28,sop-full-audit
14,is s9 game real in Pakistan,question,P1,faq/article,/faq/,2026-06-28,sop-full-audit
15,how to check s9 official website,question,P1,faq/article,/faq/,2026-06-28,sop-full-audit
16,is s9 game safe to register,question,P1,faq/article,/faq/,2026-06-28,sop-full-audit
17,what are fake s9 warning signs,question,P1,faq/article,/faq/,2026-06-28,sop-full-audit
18,how to verify s9 support page,question,P1,faq/article,/faq/,2026-06-28,sop-full-audit
19,s9 official site vs copy site,comparison,P2,comparison/article,/blog/,2026-06-28,sop-full-audit
20,s9 review vs super s9 review,comparison,P2,comparison/article,/blog/,2026-06-28,sop-full-audit
21,s9 game real or fake comparison,comparison,P2,comparison/article,/blog/,2026-06-28,sop-full-audit
22,is s9 game real Pakistan,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
23,is s9 game real PK,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
24,is s9 game real Android,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
25,is s9 game real mobile,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
26,is s9 game real H5,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
27,is s9 game real 2026,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
28,is s9 game real guide,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
29,is s9 game real checklist,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
30,is s9 game real fix,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
31,is s9 game real not working,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
32,is s9 game real latest update,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
33,is s9 game real support,tutorial/problem,P2,article,/blog/,2026-06-28,sop-full-audit
34,s9 official website Pakistan Pakistan,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
35,s9 official website Pakistan PK,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
36,s9 official website Pakistan Android,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
37,s9 official website Pakistan mobile,regional/local,P2,article,/blog/,2026-06-28,sop-full-audit
